DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS,NR_LOCAL_VOTACAO,SQ_CANDIDATO,NM_LOCAL_VOTACAO,DS_LOCAL_VOTACAO_ENDERECO
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,80,13,Vereador,15222,BEATRIZ DE OLIVEIRA NASCIMENTO,3,1058,180001985335,UNIDADE ESCOLAR OSVALDO JOSÉ DE ARAÚJO,"RUA ANISIA LAURA DE SOUSA, SN"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,96,13,Vereador,12444,MIQUEIAS ANDERSON RODRIGUES CARVALHO,33,1031,180002241008,GRUPO ESCOLAR SABINO GOMES DE LIMA,RUA PROJETADA
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,28,13,Vereador,12555,FRANCISCO DANTAS DE SOUSA,3,1015,180002241005,GRUPO ESCOLAR ZACARIAS MANOEL DA SILVA,POVOADO SAO JOAO BATISTA S/N
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,31,13,Vereador,12555,FRANCISCO DANTAS DE SOUSA,3,1031,180002241005,GRUPO ESCOLAR SABINO GOMES DE LIMA,RUA PROJETADA
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,27,13,Vereador,12333,ENEAS SILVA ABREU,2,1015,180002241000,GRUPO ESCOLAR ZACARIAS MANOEL DA SILVA,POVOADO SAO JOAO BATISTA S/N
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,27,13,Vereador,12345,KATIA LEILA DA SILVA,2,1015,180002241003,GRUPO ESCOLAR ZACARIAS MANOEL DA SILVA,POVOADO SAO JOAO BATISTA S/N
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,80,13,Vereador,13444,AMANDA DE ALENCAR SILVA,14,1058,180002240985,UNIDADE ESCOLAR OSVALDO JOSÉ DE ARAÚJO,"RUA ANISIA LAURA DE SOUSA, SN"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,45,13,Vereador,12555,FRANCISCO DANTAS DE SOUSA,1,1040,180002241005,UNIDADE ESCOLAR LUIZ UBIRACI DE CARVALHO,AVENIDA CENTRAL
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,54,13,Vereador,12000,ADONELYS DE ARAUJO SILVA,15,1040,180002241006,UNIDADE ESCOLAR LUIZ UBIRACI DE CARVALHO,AVENIDA CENTRAL
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,PI,12548,VILA NOVA DO PIAUÍ,12548,VILA NOVA DO PIAUÍ,68,45,13,Vereador,13000,DORGIVALDO PAULO DE LIMA,27,1040,180002240986,UNIDADE ESCOLAR LUIZ UBIRACI DE CARVALHO,AVENIDA CENTRAL
