NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,NR_SECAO,GERONIMO MANOEL DA SILVA,MANOEL BERNARDO LEAL,VOTO BRANCO,VOTO NULO,TOTAL_SECAO,PCT_LEAL,PCT_GERONIMO
1031,GRUPO ESCOLAR SABINO GOMES DE LIMA,30,87,172,2,8,269,66.4,33.6
1031,GRUPO ESCOLAR SABINO GOMES DE LIMA,31,82,187,0,7,276,69.5,30.5
1031,GRUPO ESCOLAR SABINO GOMES DE LIMA,96,57,119,1,2,179,67.6,32.4
1015,GRUPO ESCOLAR ZACARIAS MANOEL DA SILVA,27,91,135,0,5,231,59.7,40.3
1015,GRUPO ESCOLAR ZACARIAS MANOEL DA SILVA,28,79,136,2,12,229,63.3,36.7
1015,GRUPO ESCOLAR ZACARIAS MANOEL DA SILVA,29,91,122,2,4,219,57.3,42.7
1015,GRUPO ESCOLAR ZACARIAS MANOEL DA SILVA,87,82,130,0,2,214,61.3,38.7
1040,UNIDADE ESCOLAR LUIZ UBIRACI DE CARVALHO,45,69,171,2,9,251,71.2,28.8
1040,UNIDADE ESCOLAR LUIZ UBIRACI DE CARVALHO,54,61,178,1,5,245,74.5,25.5
1040,UNIDADE ESCOLAR LUIZ UBIRACI DE CARVALHO,68,57,162,1,5,225,74.0,26.0
1058,UNIDADE ESCOLAR OSVALDO JOSÉ DE ARAÚJO,80,85,165,0,11,261,66.0,34.0
1058,UNIDADE ESCOLAR OSVALDO JOSÉ DE ARAÚJO,89,62,144,1,5,212,69.9,30.1
